#name	url	mypref	mygroup
CodeAesthetic - YouTube	https://www.youtube.com/@CodeAesthetic	1	misc
Codemy.com - YouTube	https://www.youtube.com/@Codemycom	1	misc
Coder Musashi - YouTube	https://www.youtube.com/@codermusashi1557	1	misc
Coding Tech - YouTube	https://www.youtube.com/@CodingTech	1	misc
Cody'sLab - YouTube	https://www.youtube.com/@theCodyReeder	1	misc
colinfurze - YouTube	https://www.youtube.com/@colinfurze	1	misc
Computer Clan - YouTube	https://www.youtube.com/@ComputerClan	1	misc
Computerphile - YouTube	https://www.youtube.com/@Computerphile	1	misc
Concrete Dog - YouTube	https://www.youtube.com/@concretedog7427	1	misc
Constantijn - YouTube	https://www.youtube.com/@ConstantijnC	1	misc
Contextual Electronics - YouTube	https://www.youtube.com/@contextualelectronics	1	misc
Continuous Delivery - YouTube	https://www.youtube.com/@ContinuousDelivery	1	misc
ContraPoints - YouTube	https://www.youtube.com/@ContraPoints	1	misc
Cool Tools - YouTube	https://www.youtube.com/@CoolTools	1	misc
CoolHardLogic - YouTube	https://www.youtube.com/@CoolHardLogic	1	misc
Cord Cutters News - YouTube	https://www.youtube.com/@CordCuttersNews	1	misc
Corey Schafer - YouTube	https://www.youtube.com/@coreyms	1	misc
CoRoETS - YouTube	https://www.youtube.com/@CoRoETS	1	misc
Corridor - YouTube	https://www.youtube.com/@Corridor	1	misc
CPU Galaxy - YouTube	https://www.youtube.com/@CPUGalaxy	1	misc
Crocoduck Vlogs - YouTube	https://www.youtube.com/@crocoduckvlogs4104	1	misc
Crosstalk Solutions - YouTube	https://www.youtube.com/@CrosstalkSolutions	1	misc
CS50 - YouTube	https://www.youtube.com/cs50	1	misc
CuriousMarc - YouTube	https://www.youtube.com/@CuriousMarc	1	misc
D!NG - YouTube	https://www.youtube.com/dingsauce	1	misc
Dalibor Farný - YouTube	https://www.youtube.com/@daliborfarny	1	misc
Dan Gelbart - YouTube	https://www.youtube.com/@dgelbart	1	misc
Daniel de Bruin - YouTube	https://www.youtube.com/@danielbruin	1	misc
Daniel Norée - YouTube	https://www.youtube.com/@DanielNoree	1	misc
Daniel Rubin - YouTube	https://www.youtube.com/@DanielRubin1	1	misc
Darko Audio - YouTube	https://www.youtube.com/@DarkoAudio	1	misc
DASGeek - YouTube	https://www.youtube.com/@dasgeek	1	misc
Data Engineering - YouTube	https://www.youtube.com/@dataengineeringvideos	1	misc
Dave's Garage - YouTube	https://www.youtube.com/@DavesGarage	1	misc
David Beazley - YouTube	https://www.youtube.com/@dabeazllc	1	misc
David Gonzalez - YouTube	https://www.youtube.com/@Dagor	1	misc
DavidPoz - YouTube	https://www.youtube.com/@DavidPozEnergy	1	misc
Davy Wybiral - YouTube	https://www.youtube.com/@DavyBot	1	misc
DAZ projects - YouTube	https://www.youtube.com/@DAZprojects	1	misc
Design Prototype Test - YouTube	https://www.youtube.com/@DesignPrototypeTest	1	misc
DigiKey - YouTube	https://www.youtube.com/@digikey	1	misc
Digital Manor - YouTube	https://www.youtube.com/@digitalmanor1385	1	misc
Dino1729 - YouTube	https://www.youtube.com/@Dino-sn8gy	1	misc
DiodeGoneWild - YouTube	https://www.youtube.com/@DiodeGoneWild	1	misc
DIY Builds - YouTube	https://www.youtube.com/@DIYBuilds	1	misc
DIY Creators - YouTube	https://www.youtube.com/@DIYCreators	1	misc
DIY Experiments - YouTube	https://www.youtube.com/@DIYExperiments	1	misc
DIY Perks - YouTube	https://www.youtube.com/@DIYPerks	1	misc
Doug Bug - YouTube	https://www.youtube.com/@DougBugBuilder	1	misc
dovecott - YouTube	https://www.youtube.com/@dovecott	1	misc
Dr Ben Miles - YouTube	https://www.youtube.com/@DrBenMiles	1	misc
Dr Brian Keating - YouTube	https://www.youtube.com/@DrBrianKeating	1	misc
Dr. Jorge S. Diaz - YouTube	https://www.youtube.com/@jkzero	1	misc
Dr. Shane Oberloier - YouTube	https://www.youtube.com/@DrShaneMTU	1	misc
Dr. Underwood's Physics YouTube Page - YouTube	https://www.youtube.com/@PLUVideoPhysicsBret	1	misc
Dr.3D - YouTube	https://www.youtube.com/@dr.3d590	1	misc
Dreams of Autonomy - YouTube	https://www.youtube.com/@dreamsofautonomy	1	misc
drewestification - YouTube	https://www.youtube.com/@drewestification	1	misc
DroneBot Workshop - YouTube	https://www.youtube.com/@Dronebotworkshop	1	misc
DrZzs & GrZzs - YouTube	https://www.youtube.com/@DrZzs	1	misc
DUST - YouTube	https://www.youtube.com/@watchdust	1	misc
Dylan Beattie - YouTube	https://www.youtube.com/@DylanBeattie	1	misc
Easty Gong - YouTube	https://www.youtube.com/@eastygong2718	1	misc
Easy HomeMade Projects - YouTube	https://www.youtube.com/@EasyHomeMadeProjects	1	misc
EEVblog2 - YouTube	https://www.youtube.com/@EEVblog2	1	misc
EEVdiscover - YouTube	https://www.youtube.com/@EEVdiscover	1	misc
EEVdiscover - YouTube	https://www.youtube.com/@EEVdiscover	1	misc
eigenchris - YouTube	https://www.youtube.com/@eigenchris	1	misc
Eklavya Self Learning Tutorials - YouTube	https://www.youtube.com/@EklavyaSelfLearningTutorials	1	misc
ElectroBOOM - YouTube	https://www.youtube.com/@ElectroBOOM	1	misc
Electron Dust - YouTube	https://www.youtube.com/@ElectronDust	1	misc
Electronics for the Inquisitive Experimenter - YouTube	https://www.youtube.com/@electronicsfortheinquisitiveex	1	misc
Electronics Old and New by M Caldeira - YouTube	https://www.youtube.com/@electronicsoldandnew	1	misc
electronicsNmore - YouTube	https://www.youtube.com/@electronicsNmore	1	misc
electronupdate - YouTube	https://www.youtube.com/@electronupdate	1	misc
ElectroScience - YouTube	https://www.youtube.com/@ElectroScience	1	misc
ElementalMaker - YouTube	https://www.youtube.com/@ElementalMaker	1	misc
Engadget - YouTube	https://www.youtube.com/@Engadget	1	misc
engineerguy - YouTube	https://www.youtube.com/@engineerguyvideo	1	misc
Engineering Explained - YouTube	https://www.youtube.com/@EngineeringExplained	1	misc
Engineering with Rosie - YouTube	https://www.youtube.com/@EngineeringwithRosie	1	misc
Engineezy - YouTube	https://www.youtube.com/@Engineezy	1	misc
EPHF Museum - YouTube	https://www.youtube.com/@ephfmuseum4400	1	misc
Eric Strebel - YouTube	https://www.youtube.com/@EricStrebel	1	misc
Erik Sandberg - YouTube	https://www.youtube.com/@erik-sandberg	1	misc
Essential Craftsman - YouTube	https://www.youtube.com/@essentialcraftsman	1	misc
Esser50K - YouTube	https://www.youtube.com/@esser50k	1	misc
Estefannie - YouTube	https://www.youtube.com/@Estefannie	1	misc
ETA PRIME - YouTube	https://www.youtube.com/@ETAPRIME	1	misc
Ethan Chlebowski - YouTube	https://www.youtube.com/@EthanChlebowski	1	misc
EthAnswers by Stockroom Supply - YouTube	https://www.youtube.com/@StockroomSupply	1	misc
EuroPython Conference - YouTube	https://www.youtube.com/@EuroPythonConference	1	misc
Evan and Katelyn - YouTube	https://www.youtube.com/@EvanAndKatelyn	1	misc
Everyday Home Repairs - YouTube	https://www.youtube.com/@EverydayHomeRepairs	1	misc
Evgeniy Ivanov - YouTube	https://www.youtube.com/@CFDIntech	1	misc
ExplainingComputers - YouTube	https://www.youtube.com/@ExplainingComputers	1	misc
ExplainingTheFuture - YouTube	https://www.youtube.com/@ExplainingTheFuture	1	misc
exurb1a - YouTube	https://www.youtube.com/@Exurb1a	1	misc
Eye Skills - YouTube	https://www.youtube.com/@eyeskills2427	1	misc
Federico Terzi - YouTube	https://www.youtube.com/@FedericoTerzi	1	misc
Femalelumberjack - YouTube	https://www.youtube.com/@Femalelumberjack	1	misc
Fermilab - YouTube	https://www.youtube.com/@fermilab	1	misc
Fireship - YouTube	https://www.youtube.com/@Fireship	1	misc
Fisher's Shop - YouTube	https://www.youtube.com/@FishersShop	1	misc
FiveThirtyEight - YouTube	https://www.youtube.com/@fivethirtyeight	1	misc
Fix This Build That - YouTube	https://www.youtube.com/@Fixthisbuildthat	1	misc
Fixing Furniture - YouTube	https://www.youtube.com/@FixingFurniture	1	misc
FliteTest - YouTube	https://www.youtube.com/@FliteTest	1	misc
Floating Cameras - YouTube	https://www.youtube.com/@floatingcameras5849	1	misc
FORA.tv - YouTube	https://www.youtube.com/@foratv	1	misc
Fortzero - YouTube	https://www.youtube.com/@fortzero1552	1	misc
FPV Builders - YouTube	https://www.youtube.com/@FPVBuilders	1	misc
FQxI - YouTube	https://www.youtube.com/@FQxI	1	misc
frank howarth - YouTube	https://www.youtube.com/@frankmakes	1	misc
FranklinWoodWorks - YouTube	https://www.youtube.com/@FranklinWoodWorks2016	1	misc
Free CAD Academy - YouTube	https://www.youtube.com/@FreeCADAcademy	1	misc
FreeCAD Fun - YouTube	https://www.youtube.com/@FreeCAD_Fun	1	misc
FreeCAD jewellery design - YouTube	https://www.youtube.com/@freecadjewellerydesign7456	1	misc
FreeCAD Newbie - YouTube	https://www.youtube.com/@freecadnewbie	1	misc
FreeCAD School - YouTube	https://www.youtube.com/@freecadschool7569	1	misc
freecadscourse - YouTube	https://www.youtube.com/@freecadscourse602	1	misc
freeCodeCamp.org - YouTube	https://www.youtube.com/@freecodecamp	1	misc
Freizeitflugsphäre - YouTube	https://www.youtube.com/@Freizeitflugsphaere	1	misc
Frenchcreekvalley .frenchcreekvalley - YouTube	https://www.youtube.com/@frenchcreekvalley	1	misc
Fretthold Baits - YouTube	https://www.youtube.com/@FrettholdBaits	1	misc
FrugalRepair - YouTube	https://www.youtube.com/@FrugalRepair	1	misc
Frustrated User Guides by Lawrence Pina - YouTube	https://www.youtube.com/@LawrencePina	1	misc
Fungicopia - YouTube	https://www.youtube.com/@fungicopia9230	1	misc
Future Interfaces Group - YouTube	https://www.youtube.com/@FiglabCMU	1	misc
Future Proof - YouTube	https://www.youtube.com/@FutureProofTV	1	misc
Gary Explains - YouTube	https://www.youtube.com/@GaryExplains	1	misc
Gear Down For What? - YouTube	https://www.youtube.com/@GearDownForWhat	1	misc
Geek Outdoors - YouTube	https://www.youtube.com/@GeekoutdoorsBrand	1	misc
Genetically Modified Skeptic - YouTube	https://www.youtube.com/@GeneticallyModifiedSkeptic	1	misc
Geoff Phillips - YouTube	https://www.youtube.com/@geoffphil	1	misc
glasslinger - YouTube	https://www.youtube.com/@glasslinger	1	misc
Glasson Design Studio - YouTube	https://www.youtube.com/@GlassonDesignStudio	1	misc
Glasson Design Studio - YouTube	https://www.youtube.com/@GlassonDesignStudio	1	misc
Good Works Tractors - YouTube	https://www.youtube.com/@GoodWorksTractors	1	misc
Google TechTalks - YouTube	https://www.youtube.com/@GoogleTechTalks	1	misc
GordonWaite - YouTube	https://www.youtube.com/@GordonWaite	1	misc
Grace Hopper Academy - YouTube	https://www.youtube.com/@gracehopperacademy4313	1	misc
grain - YouTube	https://www.youtube.com/@grain8314	1	misc
Grand Illusions - YouTube	https://www.youtube.com/@grandillusions	1	misc
GreatScott! - YouTube	https://www.youtube.com/@greatscottlab	1	misc
GREENPOWERSCIENCE - YouTube	https://www.youtube.com/@GREENPOWERSCIENCE	1	misc
GreenSaw - YouTube	https://www.youtube.com/@GreenSaw	1	misc
Grist - YouTube	https://www.youtube.com/@Grist	1	misc
Gunflint Designs - YouTube	https://www.youtube.com/@GunflintDesigns	1	misc
Gustav Olsson - YouTube	https://www.youtube.com/@gustav.olsson	1	misc
GyanSky Institute - YouTube	https://www.youtube.com/@GyanSkyInstitute	1	misc
gzumwalt - YouTube	https://www.youtube.com/@popzct	1	misc
Ha Gei - YouTube	https://www.youtube.com/@hagei406	1	misc
HACKADAY - YouTube	https://www.youtube.com/@hackaday	1	misc
hackerdashery - YouTube	https://www.youtube.com/@hackerdashery	1	misc
HackerRank - YouTube	https://www.youtube.com/@HackerrankOfficial	1	misc
Hacksmith Industries - YouTube	https://www.youtube.com/c/thehacksmith	1	misc
HAINBACH - YouTube	https://www.youtube.com/@Hainbach	1	misc
Hak5 - YouTube	https://www.youtube.com/@hak5	1	misc
Half as Interesting - YouTube	https://www.youtube.com/@halfasinteresting	1	misc
Hand Tool Rescue - YouTube	https://www.youtube.com/@HandToolRescue	1	misc
Handmade Extreme - YouTube	https://www.youtube.com/@Handmadeextreme	1	misc
Hardware Haven - YouTube	https://www.youtube.com/@HardwareHaven	1	misc
Hasan Minhaj - YouTube	https://www.youtube.com/@HasanMinhaj	1	misc
Haslip Cycle Works - YouTube	https://www.youtube.com/@HaslipCycleWorks	1	misc
Hassan Abu-Izmero - YouTube	https://www.youtube.com/@HABU	1	misc
hbomberguy - YouTube	https://www.youtube.com/@hbomberguy	1	misc
Hello Python - YouTube	https://www.youtube.com/@hellopython9308	1	misc
Herrick Kimball - YouTube	https://www.youtube.com/@herrickkimball	1	misc
HNT Gordon & Co. - YouTube	https://www.youtube.com/@hntgordonco.2514	1	misc
Holy Koolaid - YouTube	https://www.youtube.com/@HolyKoolaid	1	misc
HomoFaciens - YouTube	https://www.youtube.com/@HomoFaciens	1	misc
HouseMade - YouTube	https://www.youtube.com/@HouseMadeUS	1	misc
How To Cook That - YouTube	https://www.youtube.com/@HowToCookThat	1	misc
How To Mechatronics - YouTube	https://www.youtube.com/@HowToMechatronics	1	misc
Huygens Optics - YouTube	https://www.youtube.com/@HuygensOptics	1	misc
Hyperspace Pirate - YouTube	https://www.youtube.com/@HyperspacePirate	1	misc
YouTube	https://www.youtube.com/@C0nc0rdance	1	misc
YouTube	https://www.youtube.com/@cad1919	1	misc
YouTube	https://www.youtube.com/@captainsolder5247	1	misc
YouTube	https://www.youtube.com/@CarlosMazaTube	1	misc
youtube.com/@domainofscience	https://www.youtube.com/@domainofscience	1	misc
youtube.com/@donyboy73	https://www.youtube.com/@donyboy73	1	misc
youtube.com/@Doriandotslash	https://www.youtube.com/@Doriandotslash	1	misc
youtube.com/@DotNextConf	https://www.youtube.com/@DotNextConf	1	misc
youtube.com/@EC2	https://www.youtube.com/@EC2	1	misc
youtube.com/@edting	https://www.youtube.com/@edting	1	misc
youtube.com/@EEVblog	https://www.youtube.com/@EEVblog	1	misc
youtube.com/@harribeydom	https://www.youtube.com/@harribeydom	1	misc
youtube.com/@WillProwse	https://www.youtube.com/@WillProwse	1	misc
